"Целевая.Цена","Спальни","Ванные","Жилая площадь","Общая площадь","Количество этажей","Вид на воду","Просмотрены ранее","Состояние","Оценка риелтора","Площадь без подвала","Площадь подвала","Год постройки","Год реновации","Широта","Долгота"
"830000","5","3.5","3490","21780","2","0","0","3","8","3490","0","1996","0","47.6707","-122.144"
"385000","4","1.75","2360","7620","1","0","0","4","7","1180","1180","1955","0","47.5278","-122.345"
"610000","6","2.75","2040","8560","1","0","2","4","7","1100","940","1961","0","47.616","-122.115"
"550000","3","1.75","1940","8376","1","0","0","4","8","1290","650","1963","0","47.5586","-122.173"
"1300000","3","2.75","3450","5350","1.5","0","3","4","9","2590","860","1925","0","47.6389","-122.407"
"680000","3","2.25","2300","9914","2","0","0","4","8","2300","0","1980","0","47.5677","-122.086"
"390000","3","2.5","2770","8820","1","0","0","3","7","1900","870","1980","2004","47.3685","-122.048"
"670000","2","1.75","1650","7500","1","0","0","4","7","1000","650","1959","0","47.6871","-122.207"
"330600","1","1","580","1799","1","0","0","3","7","580","0","1908","2005","47.6829","-122.375"
"191000","2","1","900","3400","1","0","0","5","6","900","0","1905","0","47.5269","-122.314"
"530000","3","1.5","1240","4080","1.5","0","0","3","8","1240","0","1914","0","47.5745","-122.291"
"565000","4","1","1540","2452","1.5","0","0","4","7","1540","0","1906","0","47.6522","-122.348"
"1110000","4","2.5","3320","9380","2","0","3","3","10","3320","0","1988","0","47.5655","-122.114"
"305000","3","1.75","1610","12247","1","0","0","3","8","1610","0","1981","0","47.4476","-122.124"
"1700000","5","4.5","5190","23716","2","0","2","3","11","3390","1800","1987","2000","47.5846","-122.223"
"216500","2","1","1060","5200","1","0","0","3","6","1060","0","1969","0","47.3688","-122.08"
"319950","2","2.5","1280","819","2","0","0","3","8","1060","220","2006","0","47.6905","-122.364"
"154000","2","1","1040","20524","1","0","3","3","6","1040","0","1949","1989","47.6981","-121.875"
"463000","3","2","1590","5009","2","0","0","4","6","1590","0","1985","0","47.7012","-122.322"
"447500","4","2.5","2425","9017","2","0","0","3","9","2425","0","2013","0","47.3003","-122.263"
"445000","5","3","2420","11250","2","0","0","3","8","2420","0","2013","0","47.5082","-122.362"
"1030000","3","2.75","2780","4000","2","0","2","5","8","1960","820","1904","0","47.6565","-122.355"
"289950","3","2.5","1960","3480","2","0","0","3","7","1960","0","2004","0","47.4802","-122.18"
"990400","3","2.5","2100","4097","2","0","0","3","9","2100","0","2008","0","47.5983","-122.2"
"251000","3","1.5","1590","21600","1.5","0","0","4","7","1590","0","1971","0","47.2159","-121.966"
"1160000","4","3.75","3560","13959","2","0","0","4","9","3560","0","1972","0","47.5575","-122.211"
"352000","3","0.75","1240","7200","1","0","0","3","7","1240","0","1947","0","47.7298","-122.342"
"453000","3","1.75","1430","20193","1","0","0","3","7","1430","0","1955","0","47.5619","-122.183"
"280000","3","2.25","1700","7210","1","0","0","4","7","1250","450","1974","0","47.3546","-122.318"
"469000","4","2.5","2240","5624","1","0","0","3","7","1520","720","1961","0","47.5574","-122.308"
"825000","3","3","3730","35900","1","0","0","3","9","2960","770","1979","0","47.5814","-122.122"
"825000","4","1.5","2040","6900","2","0","0","3","9","2040","0","1903","0","47.6188","-122.285"
"313500","3","2.25","1440","3488","2","0","0","4","7","1440","0","1983","0","47.7257","-122.162"
"514000","2","1","920","4000","1","0","0","4","7","920","0","1906","0","47.6711","-122.328"
"545000","4","2","1700","2350","1","0","0","3","6","850","850","1926","2014","47.6865","-122.366"
"359500","4","1.75","2030","7210","1","0","0","3","7","1450","580","1968","0","47.5067","-122.164"
"580000","4","2.5","2130","35752","1","0","0","3","8","1490","640","1980","0","47.5748","-122.031"
"246000","3","1.75","1390","7399","1","0","0","4","7","1390","0","1975","0","47.4183","-122.182"
"499950","3","1.75","1340","6250","1","0","0","4","7","1090","250","1941","0","47.5427","-122.386"
"324000","3","2","1540","10931","1","0","3","3","7","1540","0","1989","0","47.495","-121.776"
"1030000","5","2.75","3190","16920","1","0","3","3","9","1690","1500","1976","0","47.5641","-122.16"
"969950","3","2.5","2830","3750","3","0","0","3","10","2830","0","2014","0","47.6798","-122.385"
"1520000","4","4.25","3650","5328","1.5","0","0","3","9","2330","1320","1907","2014","47.638","-122.362"
"430760","5","2.75","2710","4685","2","0","0","3","8","2710","0","2014","0","47.3555","-122.062"
"440000","4","2.25","2160","8119","1","0","0","3","8","1080","1080","1966","0","47.5443","-122.177"
"1880000","4","2.75","3260","19542","1","0","0","4","10","2170","1090","1968","0","47.6245","-122.236"
"615000","2","1.5","1210","5000","1.5","0","0","5","6","1210","0","1907","0","47.6793","-122.397"
"507000","4","2.5","2730","7649","2","0","0","3","7","2730","0","2006","0","47.5441","-121.882"
"600000","2","2","1270","5000","1","0","0","3","6","1270","0","1944","0","47.6729","-122.363"
